,0
195,18610.513288000002
196,19425.144201000003
197,21873.793379999996
198,25961.20561700003
199,27783.560648000013
200,27856.598288999972
201,28399.87058800005
202,28786.03166499998
203,29423.659879000006
204,29545.80772399999
205,29568.86493900002
206,29254.512173000025
207,28923.21020899996
208,29182.637625000025
209,30688.844252000017
210,32271.07710100006
211,31836.37824500003
212,30902.22516799999
213,29253.348498999992
214,26420.507502000008
215,24076.545521999957
216,22469.798988999995
217,21687.77693000003
218,21492.838047000012
219,21685.51102100002
220,22877.387813999965
221,25716.237670999995
222,30155.007706000026
223,31933.957630000026
224,31082.47447700001
225,30805.05627800002
226,30863.041743999995
227,30446.102560999978
228,29746.523771000015
229,29285.85291600004
230,28817.764462000036
231,28501.922365000064
232,28523.331464999967
233,29856.878340999974
234,32259.425244999962
235,32292.536667000022
236,31742.91934700001
237,30279.043060000018
238,27658.171450000023
239,25371.350257
240,24026.103351999976
241,23420.062488000032
242,23416.451512999993
243,23902.815333000006
244,25140.16272499995
245,28207.030945000028
246,33026.13390099999
247,34034.95038799998
248,31951.322896000063
249,29744.165961000042
250,28299.27679800005
251,27049.849027999975
252,25825.655584999964
253,25213.02064600002
254,24703.42170300006
255,24448.211391999983
256,24530.030779000022
257,25462.87571999998
258,27917.506255999993
259,28182.90689600005
260,28145.261636000003
261,27243.38965700003
262,25212.791776999977
263,23076.578017000007
264,22279.212022000014
265,22386.03938799996
266,22829.747861999997
267,23503.89684900004
268,25262.556743000023
269,28914.66966400001
270,34049.227393999965
271,35889.29269300008
272,34746.3950030001
273,34354.02497499999
274,34148.80164600001
275,33275.39206800003
276,32418.958377999996
277,31634.566410999993
278,30962.90433200002
279,30838.377344
280,31908.13315399998
281,33618.25280199993
282,36754.83371100005
283,37173.32112599996
284,37213.9175149999
285,36116.43968699996
286,34061.14455400006
287,31872.018347000005
288,30587.08501600007
289,30089.84906300001
290,29928.472675000005
291,30173.516968999975
292,31243.73808000001
293,34107.89585100004
294,38503.157642000035
295,39484.43044600008
296,37423.099158999925
297,35158.780222000016
298,33219.34913099999
299,30909.899270999987
300,29090.750139999967
301,27483.657280000058
302,26162.135367000003
303,25611.970023999987
304,25677.32595699995
305,26781.398897000036
306,29945.94651400001
307,30636.282262000037
308,30809.398834999934
309,30780.20752300005
310,29259.032576000034
311,27896.43583200004
312,26951.803464000033
313,26517.475085000042
314,26484.79866999996
315,26776.93624600002
316,27627.490783000074
317,29127.082227999956
318,30948.37453899999
319,32485.12905799997
320,32551.497473999945
321,31074.016456000034
322,29215.93354399997
323,27082.99399000004
324,25043.569960999936
325,23463.233808000034
326,22320.81161500005
327,21701.096537000012
328,21522.11334199999
329,22586.980259000004
330,25158.593724
331,25573.84039400002
332,25764.512173000017
333,25585.778737000022
334,24613.410714999998
335,23581.355109999968
336,22940.07057300001
337,22639.793991000035
338,22694.370719000035
339,23003.89256700001
340,23574.80798000002
