,actual,temperature,precipitation,air_density,cloud_cover
2012/1/8 9:00,30844.47685,19.395,0.193,1.203,0.274
2012/1/8 10:00,31132.14572,21.22,0.329,1.197,0.241
2012/1/8 11:00,31114.83016,22.469,0.463,1.192,0.369
2012/1/8 12:00,31159.87727,23.004,0.753,1.189,0.482
2012/1/8 13:00,30985.47742,23.135,0.969,1.187,0.53
2012/1/8 14:00,30691.21862,22.911,0.828,1.186,0.758
2012/1/8 15:00,30649.24458,22.137,0.347,1.187,0.921
2012/1/8 16:00,30917.23403,20.822,0.255,1.189,0.955
2012/1/8 17:00,32486.10871,18.755,0.236,1.193,0.96
2012/1/8 18:00,34374.89295,18.028,0.219,1.198,0.953
2012/1/8 19:00,34362.40667,17.746,0.184,1.201,0.939
2012/1/8 20:00,33684.92788,17.63,0.241,1.202,0.944
2012/1/8 21:00,32350.04995,17.603,0.421,1.203,0.969
2012/1/8 22:00,30391.07488,17.549,0.759,1.203,0.981
2012/1/8 23:00,28170.2181,17.516,0.676,1.203,0.984
2012/1/9 0:00,26634.72729,17.443,0.436,1.203,0.976
2012/1/9 1:00,25894.75093,17.329,0.483,1.203,0.96
2012/1/9 2:00,25736.72192,17.315,0.696,1.203,0.954
2012/1/9 3:00,25898.93307,17.378,0.909,1.202,0.94
2012/1/9 4:00,26847.48101,17.519,1.124,1.201,0.858
2012/1/9 5:00,29361.4408,17.688,1.192,1.201,0.635
2012/1/9 6:00,33482.11865,17.944,1.434,1.2,0.476
2012/1/9 7:00,35263.57284,18.427,1.571,1.199,0.557
2012/1/9 8:00,35213.63619,19.226,1.825,1.198,0.619
2012/1/9 9:00,35734.08152,20.033,1.778,1.196,0.439
2012/1/9 10:00,36303.68594,20.917,2.081,1.193,0.316
2012/1/9 11:00,36712.73923,21.674,2.659,1.189,0.236
2012/1/9 12:00,36777.61282,22.005,3.283,1.185,0.296
2012/1/9 13:00,36808.04449,21.769,3.978,1.185,0.913
2012/1/9 14:00,36494.3449,21.206,4.42,1.186,0.963
2012/1/9 15:00,36161.35115,20.595,4.174,1.187,0.969
2012/1/9 16:00,36424.66475,19.917,3.778,1.189,0.974
2012/1/9 17:00,37918.03628,19.185,3.87,1.191,0.979
2012/1/9 18:00,39502.42171,18.658,3.556,1.194,0.978
2012/1/9 19:00,39071.05612,17.774,3.485,1.199,0.973
2012/1/9 20:00,38187.71404,16.684,3.139,1.204,0.966
2012/1/9 21:00,36538.27708,15.634,2.988,1.21,0.96
2012/1/9 22:00,33963.26088,14.293,2.722,1.217,0.952
2012/1/9 23:00,31607.77143,13.049,2.693,1.224,0.951
2012/1/10 0:00,29997.46051,12.036,1.323,1.229,0.951
2012/1/10 1:00,29217.75501,11.246,0.43,1.233,0.932
2012/1/10 2:00,29021.71606,10.466,0.14,1.237,0.825
2012/1/10 3:00,29209.86968,9.63,0.068,1.242,0.617
2012/1/10 4:00,30306.92588,8.964,0.07,1.245,0.906
2012/1/10 5:00,33074.86731,8.589,0.068,1.248,0.928
2012/1/10 6:00,37575.47967,8.248,0,1.25,0.719
2012/1/10 7:00,39462.49761,8.019,0,1.252,0.636
2012/1/10 8:00,38616.45479,8.47,0,1.252,0.455
2012/1/10 9:00,38330.6855,9.463,0,1.251,0.298
2012/1/10 10:00,38148.75046,10.688,0,1.247,0.187
2012/1/10 11:00,37730.73643,11.754,0,1.243,0.106
2012/1/10 12:00,37032.40951,12.506,0,1.239,0.066
2012/1/10 13:00,36571.70217,13.044,0,1.235,0.066
2012/1/10 14:00,36103.73388,13.182,0,1.232,0.146
2012/1/10 15:00,35787.53248,12.974,0,1.23,0.329
2012/1/10 16:00,35808.61678,12.415,0,1.229,0.284
2012/1/10 17:00,37087.93314,10.354,0,1.23,0.035
2012/1/10 18:00,39438.86734,8.861,0,1.232,0.001
2012/1/10 19:00,39520.26556,8.217,0,1.235,0
2012/1/10 20:00,39016.81174,7.678,0,1.238,0
2012/1/10 21:00,37511.08514,7.201,0,1.24,0.003
2012/1/10 22:00,35100.23067,6.812,0,1.241,0.013
2012/1/10 23:00,32796.17214,6.405,0,1.243,0
2012/1/11 0:00,31376.35841,6.069,0,1.244,0
2012/1/11 1:00,30879.76689,5.762,0,1.246,0.002
2012/1/11 2:00,30877.9358,5.53,0,1.247,0.008
2012/1/11 3:00,31364.03126,5.321,0,1.248,0.013
2012/1/11 4:00,32605.84929,5.083,0,1.249,0.019
2012/1/11 5:00,35647.12455,4.774,0,1.251,0.022
2012/1/11 6:00,40270.27754,4.402,0,1.254,0.022
2012/1/11 7:00,41451.71474,4.703,0,1.256,0.011
2012/1/11 8:00,39253.68467,7.191,0,1.255,0.002
2012/1/11 9:00,37034.59377,9.939,0,1.245,0.062
2012/1/11 10:00,35415.99021,13.545,0,1.229,0.115
2012/1/11 11:00,34102.62261,16.27,0,1.216,0.033
2012/1/11 12:00,32930.60135,18.25,0,1.205,0
2012/1/11 13:00,32274.676,19.345,0,1.198,0
2012/1/11 14:00,31754.39956,19.663,0,1.193,0
2012/1/11 15:00,31499.20654,19.215,0,1.191,0
2012/1/11 16:00,31580.10985,17.192,0,1.192,0
2012/1/11 17:00,32512.92349,13.815,0,1.196,0
2012/1/11 18:00,34967.34726,12.932,0,1.201,0
2012/1/11 19:00,35233.17515,12.598,0,1.206,0
2012/1/11 20:00,35197.28029,12.058,0,1.21,0.044
2012/1/11 21:00,34303.98194,11.833,0,1.212,0.079
2012/1/11 22:00,32509.31247,12.208,0,1.216,0.008
2012/1/11 23:00,30497.9593,11.637,0,1.222,0
2012/1/12 0:00,29576.53809,10.365,0,1.231,0.003
2012/1/12 1:00,29630.52915,9.2,0,1.24,0.269
2012/1/12 2:00,30028.89961,8.058,0,1.247,0.737
